rating,film,date
7,Final feliz (1967),"19 de abril de 2020, 21:42"
7,La trampa del diablo (1962),"16 de abril de 2020, 23:15"
7,Malas tierras (1973),"3 de abril de 2020, 20:25"
7,Gritos y susurros (1972),"5 de enero de 2020, 23:13"
7,El buscavidas (1961),"5 de enero de 2020, 23:12"
7,Las diabólicas (1955),"5 de enero de 2020, 23:10"
7,Ellos no envejecerán (2018),"5 de enero de 2020, 22:35"
7,Ciudad doliente (A City of Sadness) (1989),"4 de enero de 2020, 02:06"
7,Sombras (1959),"16 de diciembre de 2019, 15:17"
7,Cuando una mujer sube la escalera (1960),"13 de diciembre de 2019, 16:00"
7,"Roma, ciudad abierta (1945)","5 de diciembre de 2019, 22:44"
7,Playtime (1967),"20 de octubre de 2019, 20:16"
7,Pink Flamingos (1972),"20 de octubre de 2019, 14:53"
7,Iván el Terrible. Parte II (La conjura de los boyardos) (1958),"17 de octubre de 2019, 20:53"
7,Iván el Terrible. Parte I (1944),"17 de octubre de 2019, 20:52"
7,La maison en petits cubes (2008),"5 de septiembre de 2019, 13:42"
7,La huelga (1925),"28 de agosto de 2019, 20:05"
7,Amor (2012),"4 de abril de 2019, 20:29"
7,Roma (2018),"8 de marzo de 2019, 19:56"
7,Blade Runner (1982),"10 de febrero de 2019, 14:58"
7,Buenos días (1959),"29 de noviembre de 2018, 14:51"
7,El moderno Sherlock Holmes (1924),"5 de agosto de 2018, 13:29"
7,Una noche en la ópera (1935),"5 de agosto de 2018, 13:29"
7,Siete ocasiones (1925),"5 de agosto de 2018, 13:26"
7,El circo (1928),"5 de agosto de 2018, 13:22"
7,Zelig (1983),"5 de agosto de 2018, 04:10"
7,Deseando amar (2000),"5 de agosto de 2018, 04:08"
7,Chungking Express (1994),"5 de agosto de 2018, 04:08"
7,Ser y tener (2002),"16 de julio de 2018, 15:58"
7,El gabinete del doctor Caligari (1920),"16 de julio de 2018, 15:49"
7,Tener y no tener (1944),"16 de julio de 2018, 15:35"
7,Arsénico por compasión (1944),"16 de julio de 2018, 15:35"
7,La fiera de mi niña (1938),"16 de julio de 2018, 15:35"
7,Eva al desnudo (1950),"16 de julio de 2018, 15:34"
7,Qué bello es vivir (1946),"16 de julio de 2018, 15:34"
7,Perdición (1944),"16 de julio de 2018, 15:34"
7,"Bienvenido, Míster Marshall (1953)","16 de julio de 2018, 15:32"
7,Mi tío (1958),"16 de julio de 2018, 15:32"
7,Los cuatrocientos golpes (1959),"16 de julio de 2018, 15:31"
7,El hombre que mató a Liberty Valance (1962),"16 de julio de 2018, 15:30"
7,No amarás (1988),"16 de julio de 2018, 15:29"
7,Shoah (1985),"16 de julio de 2018, 15:29"
7,Taxi Driver (1976),"16 de julio de 2018, 15:29"
7,Dersu Uzala (El cazador) (1975),"16 de julio de 2018, 15:28"
7,Delitos y faltas (1989),"16 de julio de 2018, 15:27"
7,Pulp Fiction (1994),"16 de julio de 2018, 15:26"
7,Nubes pasajeras (1996),"16 de julio de 2018, 15:25"
7,Fargo (1996),"27 de abril de 2018, 08:27"
7,El chico (1921),"13 de abril de 2018, 15:39"
7,El gran Lebowski (1998),"13 de abril de 2018, 15:37"
7,"Saló, o los 120 días de Sodoma (1975)","13 de abril de 2018, 15:17"
7,Ariel (1988),"15 de febrero de 2015, 21:18"
7,Cautivos del mal (1952),"31 de enero de 2014, 16:48"
7,Casablanca (1942),"31 de enero de 2014, 16:45"
7,La felicidad (1935),"31 de enero de 2014, 16:45"
7,Rebeca (1940),"31 de enero de 2014, 16:45"
7,La jungla de asfalto (1950),"31 de enero de 2014, 16:44"
7,Recuerda (1945),"31 de enero de 2014, 16:43"
7,La reina de África (1951),"31 de enero de 2014, 16:43"
7,La ley del silencio (1954),"31 de enero de 2014, 16:42"
7,Accattone (1961),"31 de enero de 2014, 16:41"
7,La huella (1972),"31 de enero de 2014, 16:40"
7,La chaqueta metálica (1987),"31 de enero de 2014, 16:39"
7,La naranja mecánica (1971),"31 de enero de 2014, 16:38"
7,Los pájaros (1963),"31 de enero de 2014, 16:37"
7,La leyenda del indomable (1967),"31 de enero de 2014, 16:37"
7,El padrino. Parte III (1990),"31 de enero de 2014, 16:37"
7,Doce hombres sin piedad (1957),"13 de diciembre de 2013, 03:30"
7,El último (1924),"24 de septiembre de 2012, 10:04"
7,Trust (Confía en mí) (1990),"19 de agosto de 2012, 12:49"
7,Tom y Jerry (1940),"24 de julio de 2011, 01:10"
7,Los santos inocentes (1984),"15 de julio de 2011, 12:07"
7,A propósito de Niza (1930),"1 de junio de 2011, 11:36"
7,Mujeres de la noche (1948),"18 de mayo de 2011, 14:55"
7,El viejo y el mar (1999),"4 de mayo de 2011, 15:26"
7,La vaca (1989),"4 de mayo de 2011, 15:25"
7,La chica de la fábrica de cerillas (1990),"30 de abril de 2011, 18:22"
7,Sombras en el paraíso (1986),"29 de abril de 2011, 19:36"
7,El día de los tramposos (1970),"24 de abril de 2011, 23:27"
7,El hombre elefante (1980),"3 de abril de 2011, 15:18"
7,Padre e hija (2000),"26 de marzo de 2011, 20:23"
7,Funny Games (1997),"26 de marzo de 2011, 00:07"
7,Viaje a la Luna (1902),"13 de marzo de 2011, 22:03"
7,Encadenados (1946),"5 de febrero de 2011, 00:05"
7,La noche del cazador (1955),"3 de febrero de 2011, 19:02"
7,Tristana (1970),"3 de febrero de 2011, 17:42"
7,El navegante (1924),"17 de enero de 2011, 01:23"
7,Las tres edades (1923),"15 de enero de 2011, 00:51"
7,"Scarface, el terror del Hampa (1932)","11 de enero de 2011, 18:46"
7,Testigo de cargo (1957),"6 de enero de 2011, 21:08"
7,El cazador (1978),"18 de noviembre de 2010, 15:34"
7,El increíble hombre menguante (1957),"23 de octubre de 2010, 13:14"
7,La huida (1972),"23 de octubre de 2010, 13:01"
7,La soga (1948),"16 de octubre de 2010, 20:45"
7,El halcón maltés (1941),"16 de octubre de 2010, 20:45"
7,Atraco perfecto (1956),"16 de octubre de 2010, 20:40"
7,Muerte entre las flores (1990),"16 de octubre de 2010, 20:34"
7,El boxeador (1926),"19 de septiembre de 2010, 02:14"
6,La guerra de las galaxias. Episodio IV: Una nueva esperanza (1977),"10 de julio de 2022, 22:24"
6,La fortaleza escondida (1958),"10 de julio de 2022, 21:52"
6,Kids Return (1996),"10 de julio de 2022, 21:37"
6,Holubice (1960),"26 de junio de 2022, 18:28"
6,El irlandés (2019),"26 de junio de 2022, 14:18"
6,Trailer Park Boys (2001),"24 de mayo de 2022, 22:08"
6,Teresa Raquin (1953),"27 de febrero de 2022, 18:36"
6,El faro (2019),"28 de noviembre de 2021, 13:31"
6,Armadillo (2010),"21 de agosto de 2021, 00:08"
6,2001: Una odisea del espacio (1968),"15 de agosto de 2021, 20:38"
6,Le franc (1994),"15 de agosto de 2021, 10:21"
6,Hannah y sus hermanas (1986),"8 de noviembre de 2020, 21:57"
6,Freaks and Geeks (1999),"15 de septiembre de 2020, 23:01"
6,A dos metros bajo tierra (2001),"15 de septiembre de 2020, 22:58"
6,Una historia de violencia (2005),"15 de septiembre de 2020, 22:58"
6,Mad Men (2007),"15 de septiembre de 2020, 22:57"
6,Fausto (1926),"15 de septiembre de 2020, 20:54"
6,"Berlín, sinfonía de una ciudad (1927)","29 de agosto de 2020, 23:36"
6,Espartaco (1960),"10 de agosto de 2020, 22:54"
6,Él (1953),"10 de agosto de 2020, 22:54"
6,Érase una vez en América (1984),"10 de agosto de 2020, 22:37"
6,Chinatown (1974),"10 de agosto de 2020, 22:37"
6,La semilla del diablo (1968),"10 de agosto de 2020, 22:36"
6,La strada (1954),"10 de agosto de 2020, 22:36"
